"MJD	band	Flux	Flux_err	FilterSet	Instr"
"57988.002	Swope_i	2.0780320941835755e-17	2.2967259469544242e-18	KN_Filters_clean	Swope"
"57988.974281300005	DECam_Y	3.2050828789615673e-17	9.045483183988646e-18	KN_Filters_clean	DECam"
"57988.9853815	DECam_r	1.774106396182401e-17	5.759052863344561e-18	KN_Filters_clean	DECam"
"57988.99624090001	DECam_g	1.3693739401092336e-17	6.501503232465877e-18	KN_Filters_clean	DECam"
"57989.2344	LRIS_I	1.2782034802063548e-17	1.0595420205599194e-18	KN_Filters_clean	LRIS"
"57989.973353199995	DECam_Y	2.2651159091195364e-17	1.015244370767067e-18	KN_Filters_clean	DECam"
"57989.9793923	DECam_z	1.9008088220988686e-17	8.461609415301379e-19	KN_Filters_clean	DECam"
"57989.9818097	DECam_i	1.5625215099949203e-17	7.277832005315097e-19	KN_Filters_clean	DECam"
"57989.986635	DECam_r	1.3727200380183339e-17	1.3572820089802566e-18	KN_Filters_clean	DECam"
"57989.9897	Swope_i	7.205303034763742e-18	1.1945392818023808e-18	KN_Filters_clean	Swope"
"57989.99	RetroCam_J	2.3229330707924973e-17	8.558001697313589e-19	KN_Filters_clean	RetroCam"
"57989.9974806	DECam_g	4.5593740474771554e-18	1.4412011137458162e-18	KN_Filters_clean	DECam"
"57990.97316159999	DECam_Y	1.2844239667109513e-17	8.177666641882264e-19	KN_Filters_clean	DECam"
"57990.98282309999	DECam_z	1.1855859909190461e-17	6.224635262378614e-19	KN_Filters_clean	DECam"
"57990.9876548	DECam_i	1.3216888586931387e-17	6.996471118884166e-19	KN_Filters_clean	DECam"
"57990.997287900005	DECam_r	7.03448971400184e-18	1.1661158477640862e-18	KN_Filters_clean	DECam"
"57991.0	RetroCam_J	1.74596967727672e-17	1.6080975006866707e-18	KN_Filters_clean	RetroCam"
"57991.97	RetroCam_H	1.0669156222819977e-17	4.9133280147175565e-19	KN_Filters_clean	RetroCam"
