MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g'	sdss_g'_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_z'	sdss_z'_err
56460.63000000014	9.61600687249703e-16	4.718287420494807e-17	2.413479281362121e-16	1.793036950102429e-17	5.640690399069375e-16	5.259796812324794e-17	6.951234667378566e-16	1.1308109144018887e-16	7.790645758211235e-16	5.105262479467037e-17	7.729830356886983e-16	1.9568023041537627e-17	2.8000862022362357e-16	3.751710969984724e-17	6.073395379758286e-16	6.209831035872971e-17	2.2692302395573107e-16	2.3513167117266116e-17
56460.680000000146	9.87212706657118e-16	4.574531561032855e-17	2.481891795699854e-16	1.757704267520976e-17	5.784678419434185e-16	5.209212271572079e-17	7.15000825328045e-16	1.1168948393214482e-16	7.985138827588716e-16	5.0508538294265796e-17	7.972924152123046e-16	1.8273539601682062e-17	2.885273453573946e-16	3.698898572147827e-17	6.229758604882528e-16	6.096426975887269e-17	2.3261787361042986e-16	2.3055020547119546e-17
56460.73000000015	1.012687869318311e-15	4.475607677815156e-17	2.5503498817969805e-16	1.7228621892632123e-17	5.928710528013183e-16	5.159448918551276e-17	7.345113960154521e-16	1.1035274532560169e-16	8.179712883406179e-16	4.999568001683011e-17	8.216257143135289e-16	1.7020487727137668e-17	2.970763161331337e-16	3.64598209050768e-17	6.386238500279235e-16	5.983901435294055e-17	2.3831211785906427e-16	2.259854789657434e-17
56460.78000000015	1.0380139121256821e-15	4.426377302323405e-17	2.61885315701639e-16	1.6885184050344122e-17	6.072784504275523e-16	5.1104905791176926e-17	7.536293943335454e-16	1.0910828996598095e-16	8.37436202620109e-16	4.951398482864891e-17	8.459829334053325e-16	1.5815587411745323e-17	3.0565526963413138e-16	3.592906060491787e-17	6.542835131677935e-16	5.872269454872099e-17	2.4400494738150833e-16	2.2143698060433076e-17
56460.830000000155	1.0631786265457553e-15	4.430367403719311e-17	2.6874012386417907e-16	1.654681264593153e-17	6.216897786708133e-16	5.062313046655162e-17	7.723296147289486e-16	1.0799202561709466e-16	8.569081887061131e-16	4.906320621427771e-17	8.703640728906623e-16	1.4667361039265753e-17	3.1426394331960295e-16	3.539620151617611e-17	6.699548564524947e-16	5.76154674261168e-17	2.496955528374472e-16	2.1690485924733303e-17
56460.88000000016	1.0881770120475108e-15	4.4877244302282806e-17	2.75599374402339e-16	1.621359807637928e-17	6.361047780677649e-16	5.0148912907266776e-17	7.906112877506547e-16	1.0700686042066057e-16	8.763876373505377e-16	4.864233012268423e-17	8.94769133126682e-16	1.3586593907189639e-17	3.2290207502104765e-16	3.486079271923814e-17	6.856378864793676e-16	5.651749715122276e-17	2.55383124858136e-16	2.1238996208569272e-17
56460.93000000016	1.1130180720810234e-15	4.593731010204392e-17	2.8246302905301247e-16	1.5885637930600176e-17	6.505231891880206e-16	4.9682002600671296e-17	8.085054033952228e-16	1.0611328009603022e-16	8.958752178807663e-16	4.825005460265387e-17	9.191981145521104e-16	1.2586820069518105e-17	3.3156940293841235e-16	3.4322436665526856e-17	7.013326097809496e-16	5.542895540842628e-17	2.610668540382762e-16	2.078938757703275e-17
56460.98000000016	1.1377124143812773e-15	4.742092271403088e-17	2.893310495580649e-16	1.5563037267061e-17	6.649447526021329e-16	4.9222149175965337e-17	8.260450271599816e-16	1.05268061815088e-16	9.153715998331786e-16	4.7885037342194687e-17	9.436510176314217e-16	1.1684712628540692e-17	3.4026566563668184e-16	3.378079012439241e-17	7.170390329587089e-16	5.4350021862635894e-17	2.667459309274816e-16	2.0341897049585637e-17
56461.030000000166	1.1622706416934964e-15	4.9260084178327296e-17	2.9620339765336545e-16	1.52459088813673e-17	6.793692088290576e-16	4.876910272416712e-17	8.432631778882044e-16	1.0442854338181741e-16	9.3487745274348e-16	4.754590253832868e-17	9.681278427747224e-16	1.0900127038834946e-17	3.489906020414185e-16	3.3235565110403594e-17	7.327571625817234e-16	5.3280884650757374e-17	2.724195460223e-16	1.989684472017229e-17
56461.08000000017	1.1867033521064007e-15	5.13877583565282e-17	3.0308003508261083e-16	1.493437355158119e-17	6.937962984744087e-16	4.832261416487755e-17	8.60192831763577e-16	1.035540025355112e-16	9.54393446173785e-16	4.7231247762804767e-17	9.926285904450577e-16	1.0255380393154666e-17	3.577439514357017e-16	3.268652981075712e-17	7.48487005231265e-16	5.222174090769194e-17	2.780868897578931e-16	1.9454638794342285e-17
