MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
57985.017,20.15,0.33,5.77236503583e-17,1.75445974213e-17,Sinistro_g,Sinistro,GeneralFilters
57985.019,17.76,0.02,6.16205207632e-17,1.13509194025e-18,FLAMINGOS-2_J,FLAMINGOS-2,GeneralFilters
57985.019,17.6,0.04,2.48497417197e-17,9.15498317578e-19,FLAMINGOS-2_Ks,FLAMINGOS-2,GeneralFilters
57985.054,19.59,0.2,6.4981340005e-17,1.19700051855e-17,EFOSC2_V,EFOSC2,GeneralFilters
57985.184,19.93,0.1,7.44606912203e-17,6.85808310472e-18,UVOT_B,UVOT,GeneralFilters
57985.231,18.44,0.09,9.35244525452e-17,7.7525283694e-18,GFC_i,GFC,GeneralFilters
57985.231,18.08,0.11,7.4455928072e-17,7.5434088428e-18,GFC_y,GFC,GeneralFilters
57985.231,18.31,0.07,7.57113796317e-17,4.88129303508e-18,GFC_z,GFC,GeneralFilters
57985.357,19.36,0.09,6.32283694501e-17,5.2411932342e-18,Sinistro_r,Sinistro,GeneralFilters
57985.364,18.53,0.13,8.90204971837e-17,1.06588180289e-17,Sinistro_i,Sinistro,GeneralFilters
57985.367,18.62,0.14,8.193887851e-17,1.05655894508e-17,Sinistro_i,Sinistro,GeneralFilters
57985.384,19.34,0.08,6.37889128712e-17,4.70014079602e-18,Skymapper_r,Skymapper,GeneralFilters
57984.385,20.43,0.11,3.5407760696e-17,3.58729280601e-18,Skymapper_g,Skymapper,GeneralFilters
57985.385,19.77,0.2,5.58871736197e-17,1.02947978293e-17,Sinistro_V,Sinistro,GeneralFilters
57985.391,18.7,0.18,7.61184639062e-17,1.2619385301e-17,Sinistro_i,Sinistro,GeneralFilters
57985.395,18.63,0.15,8.11876583564e-17,1.1216489512e-17,Sinistro_i,Sinistro,GeneralFilters
57985.397,19.37,0.09,6.20504879032e-17,5.14355502452e-18,Skymapper_r,Skymapper,GeneralFilters
57985.398,20.21,0.12,4.3360917328e-17,4.79242568918e-18,Skymapper_g,Skymapper,GeneralFilters
57985.699,17.57,0.04,4.50063034415e-17,1.65809349432e-18,SIRIUS_H,SIRIUS,GeneralFilters
57985.699,17.78,0.05,6.02356105347e-17,2.77395237769e-18,SIRIUS_J,SIRIUS,GeneralFilters
57985.699,17.55,0.05,2.58991166787e-17,1.19269839972e-18,SIRIUS_Ks,SIRIUS,GeneralFilters
57985.726,19.75,0.12,4.4148096407e-17,4.8794279362e-18,Sinistro_r,Sinistro,GeneralFilters
57985.733,18.84,0.2,6.69098437201e-17,1.2325248698e-17,Sinistro_i,Sinistro,GeneralFilters
57985.736,18.76,0.15,7.20261192141e-17,9.95077610452e-18,Sinistro_i,Sinistro,GeneralFilters
57985.74,18.42,0.34,6.90840229281e-17,2.16337704247e-17,Sinistro_z,Sinistro,GeneralFilters
57985.743,19.89,0.19,5.00394061052e-17,8.75671928257e-18,Sinistro_V,Sinistro,GeneralFilters
57985.969,20.54,0.2,2.70887311449e-17,4.9899286818e-18,EFOSC2_V,EFOSC2,GeneralFilters
57985.973,17.85,0.01,6.07171743281e-17,5.59225841987e-19,FourStar_J,FourStar,GeneralFilters
