MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
57986.9800763,19.2227146535,0.0261106636456,4.365469186e-17,1.04984338803e-18,DECam_i,DECam,KN_Filters_clean
57986.9830,17.83,0.02,3.59615886823e-17,6.62436944161e-19,RetroCam_H,RetroCam,KN_Filters_clean
57986.9836909,20.2519395671,0.0485133686263,2.61676885315e-17,1.16923679459e-18,DECam_r,DECam,KN_Filters_clean
57986.9885,19.39,0.04,3.84364280011e-17,1.41605033829e-18,Swope_i,Swope,KN_Filters_clean
57986.9909464,21.7307173599,0.111509058574,1.32571505746e-17,1.36155759886e-18,DECam_g,DECam,KN_Filters_clean
57986.992,20.64,0.09,3.03423134947e-17,2.51516731463e-18,Sinistro_w,Sinistro,KN_Filters_clean
57986.9965,20.58,0.12,2.01420868853e-17,2.22618571219e-18,Swope_r,Swope,KN_Filters_clean
57986.9980,18.1,0.02,4.8399038122e-17,8.91543229559e-19,RetroCam_J,RetroCam,KN_Filters_clean
57987.0044,21.75,0.1,1.29286607985e-17,1.19077366508e-18,Swope_g,Swope,KN_Filters_clean
57987.358,20.69,0.33,1.85742797509e-17,5.64548947612e-18,Sinistro_r,Sinistro,KN_Filters_clean
57987.974538,18.8331247435,0.179805360845,3.49836093022e-17,5.79352559735e-18,DECam_Y,DECam,KN_Filters_clean
57987.9769536,19.1747243524,0.105964725727,3.18266908789e-17,3.10619334143e-18,DECam_z,DECam,KN_Filters_clean
57987.97936340001,19.5525353246,0.181829810072,3.22183027823e-17,5.39564569191e-18,DECam_i,DECam,KN_Filters_clean
57987.98297999999,20.793940388,0.242455408336,1.58841885443e-17,3.54709311776e-18,DECam_r,DECam,KN_Filters_clean
57987.990237800004,22.0337508274,0.422551036617,1.00285190085e-17,3.90293801038e-18,DECam_g,DECam,KN_Filters_clean
57988.0000,17.84,0.2,3.56318908555e-17,6.56363685752e-18,RetroCam_H,RetroCam,KN_Filters_clean
57988.0000,18.33,0.1,5.33472483359e-17,4.91346315082e-18,RetroCam_Y,RetroCam,KN_Filters_clean
57988.0020,20.27,0.12,1.70900376991e-17,1.88886077014e-18,Swope_i,Swope,KN_Filters_clean
57988.974281300005,19.0624107404,0.306419801087,2.83237149759e-17,7.99360569439e-18,DECam_Y,DECam,KN_Filters_clean
57988.9853815,20.9476144582,0.352448546056,1.3787813661e-17,4.47576018634e-18,DECam_r,DECam,KN_Filters_clean
57988.99624090001,22.0821886958,0.515485013851,9.59095061284e-18,4.55358427566e-18,DECam_g,DECam,KN_Filters_clean
57989.2344,20.83,0.09,1.04915404563e-17,8.69675927659e-19,LRIS_I,LRIS,KN_Filters_clean
57989.973353199995,19.4392828251,0.0486636275689,2.00171102652e-17,8.97184044046e-19,DECam_Y,DECam,KN_Filters_clean
57989.979392299996,19.8866873692,0.0483324550366,1.65198568344e-17,7.35395240722e-19,DECam_z,DECam,KN_Filters_clean
57989.9818097,20.5421156049,0.0505708603034,1.29500232014e-17,6.0317949367e-19,DECam_i,DECam,KN_Filters_clean
57989.986635,21.2261086792,0.107352568361,1.06683613416e-17,1.05483816898e-18,DECam_r,DECam,KN_Filters_clean
57989.9897,21.42,0.18,5.9257458459e-18,9.82406451575e-19,Swope_i,Swope,KN_Filters_clean
57989.9900,18.99,0.04,2.13224316337e-17,7.85547411617e-19,RetroCam_J,RetroCam,KN_Filters_clean
57989.9974806,23.2762307856,0.343197160673,3.19333748321e-18,1.00940205595e-18,DECam_g,DECam,KN_Filters_clean
57990.97316159999,20.0552378993,0.0691266199764,1.13506139202e-17,7.2267054513e-19,DECam_Y,DECam,KN_Filters_clean
57990.98282309999,20.3992008192,0.0570039787715,1.03038825405e-17,5.4098067194e-19,DECam_z,DECam,KN_Filters_clean
57990.987654799996,20.7238575438,0.057474359032,1.0954026089e-17,5.79860582641e-19,DECam_i,DECam,KN_Filters_clean
57990.997287900005,21.951982115,0.179983800721,5.46699079523e-18,9.06269660642e-19,DECam_r,DECam,KN_Filters_clean
57991.0000,19.3,0.1,1.6026427772e-17,1.47608854727e-18,RetroCam_J,RetroCam,KN_Filters_clean
57991.9700,19.21,0.05,1.00887850563e-17,4.64605721543e-19,RetroCam_H,RetroCam,KN_Filters_clean
57991.974217999996,20.7763902728,0.105559119457,5.84195762453e-18,5.67975812217e-19,DECam_Y,DECam,KN_Filters_clean
57991.9944411,21.1883773121,0.0697123513511,4.98115782287e-18,3.19827433922e-19,DECam_z,DECam,KN_Filters_clean
57991.99966980001,21.3695098621,0.056551354546,6.04383839942e-18,3.14797689021e-19,DECam_i,DECam,KN_Filters_clean
57992.2819,20.5723,0.04,7.67996191889e-18,2.82940253267e-19,WFC3_IR_F110W,WFC3_IR,KN_Filters_clean
57992.2965,19.8863,0.04,6.06641143049e-18,2.23494856445e-19,WFC3_IR_F160W,WFC3_IR,KN_Filters_clean
57992.3478,26.918,0.27,1.94608325015e-19,4.83950406404e-20,WFC3_UVIS1_F336W,WFC3_UVIS1,KN_Filters_clean
57992.4335,23.955,0.06,1.79672907302e-18,9.92909179127e-20,ACS_WFC_F475W,ACS_WFC,KN_Filters_clean
57992.498,22.883,0.07,2.47522945566e-18,1.59583940498e-19,ACS_WFC_F625W,ACS_WFC,KN_Filters_clean
57992.5606,22.346,0.08,2.61671413443e-18,1.92806622674e-19,ACS_WFC_F775W,ACS_WFC,KN_Filters_clean
57992.5732,21.527,0.05,3.99342683572e-18,1.83904102038e-19,ACS_WFC_F850W,ACS_WFC,KN_Filters_clean
57992.9746958,21.6704354446,0.206240207261,2.56413173471e-18,4.87067722429e-19,DECam_Y,DECam,KN_Filters_clean
57992.9840,19.34,0.09,8.95032631689e-18,7.41919966369e-19,RetroCam_H,RetroCam,KN_Filters_clean
57992.9867745,22.0612285601,0.128558273522,2.22940927159e-18,2.6397665075e-19,DECam_z,DECam,KN_Filters_clean
57993.000021399996,22.3838801057,0.103004946067,2.37445938931e-18,2.25267482343e-19,DECam_i,DECam,KN_Filters_clean
57993.9970,19.64,0.14,6.74298016325e-18,8.6947199395e-19,SOFI_H,SOFI,KN_Filters_clean
57994.9620,19.36,0.09,4.91468476159e-18,4.07393275277e-19,FourStar_Ks,FourStar,KN_Filters_clean
57994.9850,19.32,0.09,4.98456984716e-18,4.13186264102e-19,SOFI_Ks,SOFI,KN_Filters_clean
57995.9780,19.52,0.09,4.24126751829e-18,3.51571657069e-19,FourStar_Ks,FourStar,KN_Filters_clean
57995.9900,19.43,0.09,4.50430391912e-18,3.73375550105e-19,SOFI_Ks,SOFI,KN_Filters_clean
57997.9697,20.23,0.1,2.20544212974e-18,2.03128726856e-19,FourStar_Ks,FourStar,KN_Filters_clean
58000.9600,20.81,0.13,1.29269380187e-18,1.54779948855e-19,FourStar_Ks,FourStar,KN_Filters_clean
58000.9900,20.93,0.17,1.15743248284e-18,1.81225901117e-19,FourStar_Ks,FourStar,KN_Filters_clean
