MJD	band	Flux	Flux_err	FilterSet	Instr	Phase	Log_Phase	Log_Flux	Log_Flux_err
57982.57501851882	FourStar_H	3.053560030042609e-18	3.053560030042609e-19	SUDO_PTS	SUDO_PTS	0.046499998825311195	-1.3325470580812477	-17.5151935377739	0.04342944819032518
57982.61501851781	FourStar_H	5.59634573287144e-18	5.59634573287144e-19	SUDO_PTS	SUDO_PTS	0.0864999978148262	-1.0629839035063873	-17.25209546336531	0.04342944819032518
57982.65621851677	FourStar_H	8.134441242212985e-18	8.134441242212984e-19	SUDO_PTS	SUDO_PTS	0.12769999677402666	-0.8938091137077863	-17.089672273551685	0.043429448190325175
57982.69891851569	FourStar_H	1.067852427838745e-17	1.0678524278387451e-18	SUDO_PTS	SUDO_PTS	0.17039999569533393	-0.7685304205405202	-16.97148876060668	0.04342944819032518
57982.743118514576	FourStar_H	1.3219761226091856e-17	1.3219761226091857e-18	SUDO_PTS	SUDO_PTS	0.214599994578748	-0.6683702933412693	-16.87877638895985	0.04342944819032518
57982.789118513414	FourStar_H	1.57654829442559e-17	1.5765482944255901e-18	SUDO_PTS	SUDO_PTS	0.26059999341669027	-0.5840255995946356	-16.802292720963468	0.04342944819032518
57982.83691851221	FourStar_H	1.83046573219789e-17	1.8304657321978897e-18	SUDO_PTS	SUDO_PTS	0.3083999922091607	-0.5108856415922822	-16.737438397051047	0.043429448190325175
57982.88691851094	FourStar_H	2.084599774747492e-17	2.0845997747474924e-18	SUDO_PTS	SUDO_PTS	0.35839999094605446	-0.44563200998111396	-16.680977313497497	0.04342944819032518
57982.93941850962	FourStar_H	2.3389598352916098e-17	2.33895983529161e-18	SUDO_PTS	SUDO_PTS	0.4108999896197929	-0.38626386970933024	-16.630977235848388	0.04342944819032518
57982.53431851985	FourStar_J	9.430559504949356e-19	9.430559504949356e-20	SUDO_PTS	SUDO_PTS	0.005799999853479676	-2.2365720174082644	-18.025462540273935	0.043429448190325175
57982.563818519106	FourStar_J	5.630579710437818e-18	5.630579710437818e-19	SUDO_PTS	SUDO_PTS	0.03529999910824699	-1.452225305583379	-17.249446888970457	0.04342944819032518
57982.59451851833	FourStar_J	1.0319324743094527e-17	1.0319324743094529e-18	SUDO_PTS	SUDO_PTS	0.06599999833269976	-1.180456075429333	-16.986348720338906	0.04342944819032519
57982.62661851752	FourStar_J	1.5021375876022896e-17	1.5021375876022897e-18	SUDO_PTS	SUDO_PTS	0.09809999752178555	-1.008331003591253	-16.823290286506403	0.04342944819032518
57982.660018516675	FourStar_J	1.970305707545465e-17	1.9703057075454652e-18	SUDO_PTS	SUDO_PTS	0.13149999667803058	-0.8810742581454248	-16.70546638460001	0.04342944819032519
57982.69511851579	FourStar_J	2.4399011657941713e-17	2.4399011657941714e-18	SUDO_PTS	SUDO_PTS	0.16659999579133	-0.7783250139004327	-16.612627765472563	0.043429448190325175
57982.73201851486	FourStar_J	2.909690198603636e-17	2.9096901986036364e-18	SUDO_PTS	SUDO_PTS	0.2034999948591576	-0.6914355974099627	-16.53615324888328	0.04342944819032518
57982.770818513876	FourStar_J	3.37823990365525e-17	3.37823990365525e-18	SUDO_PTS	SUDO_PTS	0.24229999387898715	-0.6156465968336954	-16.471309512510977	0.043429448190325175
57982.812018512835	FourStar_J	3.848364250422808e-17	3.848364250422808e-18	SUDO_PTS	SUDO_PTS	0.2834999928381876	-0.5474469477422762	-16.41472382840607	0.04342944819032518
57982.85571851173	FourStar_J	4.317466507589375e-17	4.317466507589375e-18	SUDO_PTS	SUDO_PTS	0.32719999173423275	-0.48518671597191615	-16.3647710227531	0.043429448190325175
57982.90241851055	FourStar_J	4.7866732154797936e-17	4.786673215479794e-18	SUDO_PTS	SUDO_PTS	0.3738999905544915	-0.42724454581698196	-16.319966220639678	0.04342944819032518
