MJD	band	Flux	Flux_err	FilterSet	Instr
57989.966	FLAMINGOS-2_H	1.56647352045583e-17	2.019885521422245e-18	GeneralFilters	FLAMINGOS-2
57989.969	ANDICAM_K	1.6703600391886118e-17	2.6153792601757272e-18	GeneralFilters	ANDICAM
57989.973	DECam_Y	2.2620542103064143e-17	1.0417144187701004e-18	GeneralFilters	DECam
57989.979	VISTA_Ks	1.8664667843641306e-17	6.876317473067833e-19	GeneralFilters	VIRCAM
57989.979	DECam_z	1.8937072194542703e-17	8.720843675836185e-19	GeneralFilters	DECam
57989.982	DECam_i	1.5644860491807236e-17	7.204724219126801e-19	GeneralFilters	DECam
57989.983	GROND_H	1.5860203499767685e-17	8.764672002149318e-19	GeneralFilters	GROND
57989.983	GROND_J	1.877199327594161e-17	4.841100335366334e-18	GeneralFilters	GROND
57989.983	GROND_K	1.6850647999956027e-17	1.8624023675942682e-18	GeneralFilters	GROND
57989.987	DECam_r	1.3668627026381404e-17	1.3848197247027951e-18	GeneralFilters	DECam
57989.989	VISTA_J	2.0173854231570952e-17	1.4864644526610573e-18	GeneralFilters	VIRCAM
57989.99	Swope_i	7.200318358090358e-18	1.1937128433526376e-18	GeneralFilters	E2V4kx4kccd
57989.997	DECam_g	4.540430007982106e-18	1.4218427400687766e-18	GeneralFilters	DECam
57989.999	VISTA_Y	2.5775132178027393e-17	1.6617841163311372e-18	GeneralFilters	VIRCAM
57990.039	GMOS_i	1.1451976013851097e-17	3.1642977827781397e-19	GeneralFilters	GMOS
